planName,planCode,planDescription,Pricing Version,planActive,,productCode,productName
Enterprise,enterprise,Enterprise,2.9,TRUE,,oktaSso,Okta SSO
,,,,,,saveToBullhorn,save to bullhorn
,,,,,,bulkShowProspecting,Bulk Show Prospecting
,,,,,,companyExport,Company export
,,,,,,usageAnalyticsAdvanced,Advanced usage analytics
,,,,,,csvEnrichment,CSV Enrichment
,,,,,,saveToCrm,Save To CRM
,,,,,,saveToSalesforce,save to salesforce
,,,,,,limitedBulkCsvEnrich,Limited bulk csv enrich
,,,,,,regenerateSimilarPreview,Regenerate action in similar preview
,,,,,,saveToSalesloft,save to salesloft
,,,,,,managerSeat,ENT_Manager seat
,,,,,,rolloverCredits,Rollover credits
,,,,,,saveToDynamics,Save To MS Dynamics
,,,,,,usageReportExport,Usage Report CSV Export
,,,,,,engageSequences,Engage Sequences
,,,,,,idleTimeManagement,Idle Time Management
,,,,,,usageReports_byMail,Report Settings By Email
,,,,,,teamManagementGroups,Groups management
,,,,,,pluginBulkView,Plugin Bulk View
,,,,,,unlimitedBulkCsvEnrich,unlimited bulk csv enrich
,,,,,,saveToZoho,save to zoho
,,,,,,saveToHubspot,save to hubspot
,,,,,,saveToPipedrive,save to pipedrive
,,,,,,usageAnalytics,Usage Analytics
,,,,,,doNotCallList,Do Not Call Lists
,,,,,,bulkEnrich,Bulk Enrich
,,,,,,saveToOutreach,save to outreach
,,,,,,contactExport,List export
,,,,,,showBlockedContacts,Show blocked contacts
,,,,,,teamManagementCreditLimits,Manage credit limits
,,,,,,unlimitedBulkEnrich,Unlimited Bulk Enrich
Premium,premium,Premium,2.9,TRUE,,saveToBullhorn,save to bullhorn
,,,,,,saveToSalesforce,save to salesforce
,,,,,,limitedBulkCsvEnrich,Limited bulk csv enrich
,,,,,,regenerateSimilarPreview,Regenerate action in similar preview
,,,,,,saveToSalesloft,save to salesloft
,,,,,,contactRefreshData,Contact Refresh Data
,,,,,,rolloverCredits,Rollover credits
,,,,,,usageReportExport,Usage Report CSV Export
,,,,,,saveToZoho,save to zoho
,,,,,,saveToHubspot,save to hubspot
,,,,,,saveToPipedrive,save to pipedrive
,,,,,,saveToOutreach,save to outreach
,,,,,,showBlockedContacts,Show blocked contacts
Professional,professional,Professional,2.9,TRUE,,regenerateSimilarPreview,Regenerate action in similar preview
,,,,,,contactRefreshData,Contact Refresh Data
,,,,,,rolloverCredits,Rollover credits
,,,,,,usageReportExport,Usage Report CSV Export
,,,,,,contactExport,List export
,,,,,,showBlockedContacts,Show blocked contacts
Free,free,Free,1,TRUE,,manualAddToRec,Manual Add more in Recommendation list
,,,,,,conversations,conversations
,,,,,,saveToBullhorn,save to bullhorn
,,,,,,bulkShowProspecting,Bulk Show Prospecting
,,,,,,dataChangeAlerts,Job change alerts
,,,,,,csvEnrichment,CSV Enrichment
,,,,,,intentLimitedResults,Limit for intent results
,,,,,,saveToCrm,Save To CRM
,,,,,,saveToSalesforce,save to salesforce
,,,,,,jobChangeFilter,ADDON_Job Change Filter
,,,,,,regenerateSimilarPreview,Regenerate action in similar preview
,,,,,,saveToSalesloft,save to salesloft
,,,,,,contactRefreshData,Contact Refresh Data
,,,,,,intentData5Topics,ADDON_Intent Data 5 Topics
,,,,,,manualAddToList,Manual Similar in saved list
,,,,,,saveToDynamics,Save To MS Dynamics
,,,,,,engageSequences,Engage Sequences
,,,,,,fundingFilter,ADDON_Funding Filter
,,,,,,showSpecificDataPoints,Show Specific Data Points
,,,,,,pluginBulkView,Plugin Bulk View
,,,,,,saveToZoho,save to zoho
,,,,,,saveToHubspot,save to hubspot
,,,,,,saveToPipedrive,save to pipedrive
,,,,,,technographicsFilter,ADDON_Technographics Filter
,,,,,,usageAnalytics,Usage Analytics
,,,,,,saveToOutreach,save to outreach
,,,,,,contactExport,List export
,,,,,,automaticAddToList,Automatic Similar in saved list
Enterprise,enterprise,Enterprise,2.95,TRUE,,oktaSso,Okta SSO
,,,,,,manualAddToRec,Manual Add more in Recommendation list
,,,,,,saveToBullhorn,save to bullhorn
,,,,,,bulkShowProspecting,Bulk Show Prospecting
,,,,,,companyExport,Company export
,,,,,,usageAnalyticsAdvanced,Advanced usage analytics
,,,,,,csvEnrichment,CSV Enrichment
,,,,,,saveToCrm,Save To CRM
,,,,,,saveToSalesforce,save to salesforce
,,,,,,limitedBulkCsvEnrich,Limited bulk csv enrich
,,,,,,regenerateSimilarPreview,Regenerate action in similar preview
,,,,,,saveToSalesloft,save to salesloft
,,,,,,managerSeat,ENT_Manager seat
,,,,,,manualAddToList,Manual Similar in saved list
,,,,,,rolloverCredits,Rollover credits
,,,,,,saveToDynamics,Save To MS Dynamics
,,,,,,usageReportExport,Usage Report CSV Export
,,,,,,engageSequences,Engage Sequences
,,,,,,idleTimeManagement,Idle Time Management
,,,,,,usageReports_byMail,Report Settings By Email
,,,,,,teamManagementGroups,Groups management
,,,,,,wishedContactsExport,Wished contacts save and expor
,,,,,,pluginBulkView,Plugin Bulk View
,,,,,,unlimitedBulkCsvEnrich,unlimited bulk csv enrich
,,,,,,saveToZoho,save to zoho
,,,,,,saveToHubspot,save to hubspot
,,,,,,saveToPipedrive,save to pipedrive
,,,,,,usageAnalytics,Usage Analytics
,,,,,,doNotCallList,Do Not Call Lists
,,,,,,bulkEnrich,Bulk Enrich
,,,,,,UNLIMITED_CREDITS,ENT_Unlimited Credits
,,,,,,saveToOutreach,save to outreach
,,,,,,contactExport,List export
,,,,,,showBlockedContacts,Show blocked contacts
,,,,,,teamManagementCreditLimits,Manage credit limits
,,,,,,unlimitedBulkEnrich,Unlimited Bulk Enrich
,,,,,,automaticAddToList,Automatic Similar in saved list
Premium,premium,Premium,2.95,TRUE,,saveToBullhorn,save to bullhorn
,,,,,,usageAnalyticsAdvanced,Advanced usage analytics
,,,,,,saveToSalesforce,save to salesforce
,,,,,,limitedBulkCsvEnrich,Limited bulk csv enrich
,,,,,,regenerateSimilarPreview,Regenerate action in similar preview
,,,,,,saveToSalesloft,save to salesloft
,,,,,,contactRefreshData,Contact Refresh Data
,,,,,,rolloverCredits,Rollover credits
,,,,,,usageReportExport,Usage Report CSV Export
,,,,,,usageReports_byMail,Report Settings By Email
,,,,,,teamManagementGroups,Groups management
,,,,,,saveToZoho,save to zoho
